"","V1","V2"
"1",736104.635416667,5.2
"2",736104.645833333,74.08
"3",736104.65625,74.19
"4",736104.666666667,73.85
"5",736104.677083333,73.97
"6",736104.6875,73.93
"7",736104.697916667,73.79
"8",736104.708333333,73.83
"9",736104.71875,73.78
"10",736104.729166667,74.17
"11",736104.739583333,74.58
"12",736104.75,74.63
"13",736104.760416667,74.26
"14",736104.770833333,74.65
"15",736104.78125,74.99
"16",736104.791666667,75.13
"17",736104.802083333,75.52
"18",736104.8125,75.8
"19",736104.822916667,76.33
"20",736104.833333333,76.86
"21",736104.84375,77.23
"22",736104.854166667,77.65
"23",736104.864583333,77.89
"24",736104.875,78.26
"25",736104.885416667,78.42
"26",736104.895833333,78.61
"27",736104.90625,78.85
"28",736104.916666667,78.89
"29",736104.927083333,79.38
"30",736104.9375,79.42
"31",736104.947916667,79.64
"32",736104.958333333,80.09
"33",736104.96875,80.23
"34",736104.979166667,80.28
"35",736104.989583333,80.53
"36",736105,80.77
"37",736105.010416667,81.1
"38",736105.020833333,81.1
"39",736105.03125,81.17
"40",736105.041666667,81.37
"41",736105.052083333,81.54
"42",736105.0625,81.72
"43",736105.072916667,82.02
"44",736105.083333333,82
"45",736105.09375,82.32
"46",736105.104166667,82.27
"47",736105.114583333,82.53
"48",736105.125,82.54
"49",736105.135416667,82.47
"50",736105.145833333,82.87
"51",736105.15625,82.93
"52",736105.166666667,83.08
"53",736105.177083333,82.99
"54",736105.1875,83.25
"55",736105.197916667,83.39
"56",736105.208333333,83.52
"57",736105.21875,83.45
"58",736105.229166667,83.5
"59",736105.239583333,83.71
"60",736105.25,83.6
"61",736105.260416667,83.76
"62",736105.270833333,83.86
"63",736105.28125,83.84
"64",736105.291666667,84
"65",736105.302083333,84.05
"66",736105.3125,83.9
"67",736105.322916667,84.02
"68",736105.333333333,84
"69",736105.34375,84.05
"70",736105.354166667,84.08
"71",736105.364583333,84.09
"72",736105.375,84.12
"73",736105.385416667,83.86
"74",736105.395833333,84.15
"75",736105.40625,84.12
"76",736105.416666667,84.09
"77",736105.427083333,84.24
"78",736105.4375,84.08
"79",736105.447916667,84.12
"80",736105.458333333,84.07
"81",736105.46875,84.1
"82",736105.479166667,83.95
"83",736105.489583333,83.69
"84",736105.5,83.64
"85",736105.510416667,83.72
"86",736105.520833333,83.51
"87",736105.53125,83.28
"88",736105.541666667,83.2
"89",736105.552083333,83
"90",736105.5625,82.87
"91",736105.572916667,82.83
"92",736105.583333333,82.74
"93",736105.59375,82.42
"94",736105.604166667,82.11
"95",736105.614583333,81.96
"96",736105.625,81.36
"97",736105.635416667,81.07
"98",736105.645833333,80.61
"99",736105.65625,80.32
"100",736105.666666667,80.04
"101",736105.677083333,80.37
"102",736105.6875,80.36
"103",736105.697916667,80.41
"104",736105.708333333,79.96
"105",736105.71875,80.11
"106",736105.729166667,80.17
"107",736105.739583333,79.97
"108",736105.75,79.38
"109",736105.760416667,79.33
"110",736105.770833333,79.14
"111",736105.78125,79.23
"112",736105.791666667,79.65
"113",736105.802083333,79.91
"114",736105.8125,80.15
"115",736105.822916667,80.13
"116",736105.833333333,80.04
"117",736105.84375,80.21
"118",736105.854166667,80.15
"119",736105.864583333,80.33
"120",736105.875,80.43
"121",736105.885416667,80.69
"122",736105.895833333,80.88
"123",736105.90625,81.04
"124",736105.916666667,81.13
"125",736105.927083333,81.18
"126",736105.9375,81.52
"127",736105.947916667,81.69
"128",736105.958333333,81.69
"129",736105.96875,81.72
"130",736105.979166667,82.05
"131",736105.989583333,82.43
"132",736106,82.24
"133",736106.010416667,82.42
"134",736106.020833333,82.62
"135",736106.03125,82.78
"136",736106.041666667,82.68
"137",736106.052083333,82.77
"138",736106.0625,83.04
"139",736106.072916667,83.08
"140",736106.083333333,83.06
"141",736106.09375,83.34
"142",736106.104166667,83.49
"143",736106.114583333,83.64
"144",736106.125,83.8
"145",736106.135416667,83.92
"146",736106.145833333,84.15
"147",736106.15625,84.07
"148",736106.166666667,84.19
"149",736106.177083333,84.5
"150",736106.1875,84.44
"151",736106.197916667,84.72
"152",736106.208333333,84.9
"153",736106.21875,84.87
"154",736106.229166667,85.07
"155",736106.239583333,85.15
"156",736106.25,85.43
"157",736106.260416667,85.48
"158",736106.270833333,85.63
"159",736106.28125,85.7
"160",736106.291666667,85.76
"161",736106.302083333,85.74
"162",736106.3125,85.79
"163",736106.322916667,85.66
"164",736106.333333333,85.96
"165",736106.34375,85.89
"166",736106.354166667,86.11
"167",736106.364583333,85.98
"168",736106.375,85.87
"169",736106.385416667,86.14
"170",736106.395833333,86.24
"171",736106.40625,86.35
"172",736106.416666667,86.3
"173",736106.427083333,86.41
"174",736106.4375,86.25
"175",736106.447916667,86.31
"176",736106.458333333,86.5
"177",736106.46875,86.47
"178",736106.479166667,86.34
"179",736106.489583333,86.32
"180",736106.5,86.46
"181",736106.510416667,86.33
"182",736106.520833333,86.19
"183",736106.53125,85.95
"184",736106.541666667,85.85
"185",736106.552083333,85.33
"186",736106.5625,84.97
"187",736106.572916667,84.66
"188",736106.583333333,84.1
"189",736106.59375,83.52
"190",736106.604166667,82.96
"191",736106.614583333,82.22
"192",736106.625,81.21
"193",736106.635416667,80.34
"194",736106.645833333,79.87
"195",736106.65625,79.23
"196",736106.666666667,79.26
"197",736106.677083333,79.47
"198",736106.6875,78.71
"199",736106.697916667,78.27
"200",736106.708333333,78.29
"201",736106.71875,77.78
"202",736106.729166667,77.43
"203",736106.739583333,77.53
"204",736106.75,77.39
"205",736106.760416667,77.44
"206",736106.770833333,76.98
"207",736106.78125,77.34
"208",736106.791666667,77.18
"209",736106.802083333,77.84
"210",736106.8125,77.85
"211",736106.822916667,78.13
"212",736106.833333333,78.46
"213",736106.84375,78.76
"214",736106.854166667,79.32
"215",736106.864583333,79.7
"216",736106.875,79.7
"217",736106.885416667,79.88
"218",736106.895833333,80.5
"219",736106.90625,80.4
"220",736106.916666667,81.05
"221",736106.927083333,81.25
"222",736106.9375,81.49
"223",736106.947916667,81.05
"224",736106.958333333,81.83
"225",736106.96875,81.51
"226",736106.979166667,81.95
"227",736106.989583333,82.31
"228",736107,82.33
"229",736107.010416667,82.73
"230",736107.020833333,82.81
"231",736107.03125,83.68
"232",736107.041666667,83.16
"233",736107.052083333,83.71
"234",736107.0625,83.53
"235",736107.072916667,83.54
"236",736107.083333333,83.79
"237",736107.09375,84.01
"238",736107.104166667,83.7
"239",736107.114583333,83.96
"240",736107.125,84.12
"241",736107.135416667,84.08
"242",736107.145833333,84.44
"243",736107.15625,84.57
"244",736107.166666667,84.89
"245",736107.177083333,84.54
"246",736107.1875,84.67
"247",736107.197916667,85.02
"248",736107.208333333,84.75
"249",736107.21875,85.03
"250",736107.229166667,85.2
"251",736107.239583333,85.03
"252",736107.25,85.27
"253",736107.260416667,85.31
"254",736107.270833333,85.37
"255",736107.28125,85.58
"256",736107.291666667,85.52
"257",736107.302083333,85.57
"258",736107.3125,85.72
"259",736107.322916667,85.75
"260",736107.333333333,85.94
"261",736107.34375,86.01
"262",736107.354166667,86.18
"263",736107.364583333,86.19
"264",736107.375,86.11
"265",736107.385416667,86.2
"266",736107.395833333,86.12
"267",736107.40625,86.28
"268",736107.416666667,86.34
"269",736107.427083333,86.24
"270",736107.4375,86.26
"271",736107.447916667,86.13
"272",736107.458333333,86.12
"273",736107.46875,86.24
"274",736107.479166667,86.21
"275",736107.489583333,85.85
"276",736107.5,85.99
"277",736107.510416667,85.92
"278",736107.520833333,85.75
"279",736107.53125,85.74
"280",736107.541666667,85.64
"281",736107.552083333,85.28
"282",736107.5625,84.89
"283",736107.572916667,84.61
"284",736107.583333333,83.96
"285",736107.59375,83.33
"286",736107.604166667,82.67
"287",736107.614583333,81.97
"288",736107.625,81.11
"289",736107.635416667,79.89
"290",736107.645833333,79.41
"291",736107.65625,78.84
"292",736107.666666667,78.04
"293",736107.677083333,77.2
"294",736107.6875,76.84
"295",736107.697916667,76.54
"296",736107.708333333,76.32
"297",736107.71875,75.82
"298",736107.729166667,75.79
"299",736107.739583333,75.5
"300",736107.75,75.23
"301",736107.760416667,75.04
"302",736107.770833333,74.85
"303",736107.78125,74.77
"304",736107.791666667,74.72
"305",736107.802083333,75.03
