"","V1","V2","V3","V4","V5"
"1","2011","1","2","0.988558352402746","0.011441647597254"
"2","2011","1","3","0.986270022883295","0.0137299771167048"
"3","2011","1","4","0.983981693363844","0.0160183066361556"
"4","2011","1","5","0.974828375286041","0.0251716247139588"
"5","2011","1","6","0.97254004576659","0.0274599542334096"
"6","2011","1","7","0.979405034324943","0.0205949656750572"
"7","2011","1","8","0.990846681922197","0.0091533180778032"
"8","2011","1","9","0.995423340961098","0.0045766590389016"
"9","2011","1","10","0.995423340961098","0.0045766590389016"
"10","2011","1","11","1","0"
"11","2011","1","12","1","0"
"12","2011","1","13","1","0"
"13","2011","1","14","1","0"
"14","2011","1","15","1","0"
"15","2011","1","16","1","0"
"16","2011","1","17","1","0"
"17","2011","1","18","1","0"
"18","2011","1","19","1","0"
"19","2011","1","20","1","0"
"20","2011","1","21","1","0"
"21","2011","1","22","1","0"
"22","2011","1","23","1","0"
"23","2011","1","24","1","0"
"24","2011","1","25","1","0"
"25","2011","1","26","1","0"
"26","2011","1","27","1","0"
"27","2011","1","28","1","0"
"28","2011","1","29","1","0"
"29","2011","1","30","1","0"
"30","2011","1","31","1","0"
"31","2011","2","1","1","0"
"32","2011","2","2","1","0"
"33","2011","2","3","1","0"
"34","2011","2","4","1","0"
"35","2011","2","5","1","0"
"36","2011","2","6","1","0"
"37","2011","2","7","1","0"
"38","2011","2","8","1","0"
"39","2011","2","9","1","0"
"40","2011","2","10","1","0"
"41","2011","2","11","1","0"
"42","2011","2","12","1","0"
"43","2011","2","13","1","0"
"44","2011","2","14","1","0"
"45","2011","2","15","1","0"
"46","2011","2","16","1","0"
"47","2011","2","17","1","0"
"48","2011","2","18","1","0"
"49","2011","2","19","1","0"
"50","2011","2","20","1","0"
"51","2011","2","21","1","0"
"52","2011","2","22","1","0"
"53","2011","2","23","1","0"
"54","2011","2","24","1","0"
"55","2011","2","25","1","0"
"56","2011","2","26","1","0"
"57","2011","2","27","1","0"
"58","2011","2","28","1","0"
"59","2011","3","1","1","0"
"60","2011","3","2","1","0"
"61","2011","3","3","1","0"
"62","2011","3","4","1","0"
"63","2011","3","5","1","0"
"64","2011","3","6","1","0"
"65","2011","3","7","1","0"
"66","2011","3","8","1","0"
"67","2011","3","9","1","0"
"68","2011","3","10","1","0"
"69","2011","3","11","1","0"
"70","2011","3","12","1","0"
"71","2011","3","13","1","0"
"72","2011","3","14","1","0"
"73","2011","3","15","1","0"
"74","2011","3","16","1","0"
"75","2011","3","17","1","0"
"76","2011","3","18","0.97254004576659","0.0274599542334096"
"77","2011","3","19","0.967963386727689","0.0320366132723112"
"78","2011","3","20","0.940503432494279","0.0594965675057208"
"79","2011","3","21","0.919908466819222","0.080091533180778"
"80","2011","3","22","0.919908466819222","0.080091533180778"
"81","2011","3","23","0.91533180778032","0.0846681922196796"
"82","2011","3","24","0.919908466819222","0.080091533180778"
"83","2011","3","25","0.917620137299771","0.0823798627002288"
"84","2011","3","26","0.917620137299771","0.0823798627002288"
"85","2011","3","27","0.922196796338673","0.0778032036613272"
"86","2011","3","28","0.926773455377574","0.0732265446224256"
"87","2011","3","29","0.933638443935927","0.0663615560640732"
"88","2011","3","30","0.924485125858124","0.0755148741418764"
"89","2011","3","31","0.805491990846682","0.194508009153318"
"90","2011","4","1","0.755148741418764","0.244851258581236"
"91","2011","4","2","0.745995423340961","0.254004576659039"
"92","2011","4","3","0.74141876430206","0.258581235697941"
"93","2011","4","4","0.74141876430206","0.258581235697941"
"94","2011","4","5","0.739130434782609","0.260869565217391"
"95","2011","4","6","0.74141876430206","0.258581235697941"
"96","2011","4","7","0.560640732265446","0.439359267734554"
"97","2011","4","8","0.583524027459954","0.416475972540046"
"98","2011","4","9","0.54233409610984","0.45766590389016"
"99","2011","4","10","0.450800915331808","0.549199084668192"
"100","2011","4","11","0.377574370709382","0.622425629290618"
"101","2011","4","12","0.347826086956522","0.652173913043478"
"102","2011","4","13","0.0663615560640732","0.933638443935927"
"103","2011","4","14","0.299771167048055","0.700228832951945"
"104","2011","4","15","0.0411899313501144","0.958810068649886"
"105","2011","4","16","0.0480549199084668","0.951945080091533"
"106","2011","4","17","0.0663615560640732","0.933638443935927"
"107","2011","4","18","0.045766590389016","0.954233409610984"
"108","2011","4","19","0.123569794050343","0.876430205949657"
"109","2011","4","20","0.155606407322654","0.844393592677345"
"110","2011","4","21","0.112128146453089","0.887871853546911"
"111","2011","4","22","0.0411899313501144","0.958810068649886"
"112","2011","4","23","0.0389016018306636","0.961098398169336"
"113","2011","4","24","0.0434782608695652","0.956521739130435"
"114","2011","4","25","0.0320366132723112","0.967963386727689"
"115","2011","4","26","0.0411899313501144","0.958810068649886"
"116","2011","4","27","0.0022883295194508","0.997711670480549"
"117","2011","4","28","0","1"
"118","2011","4","29","0","1"
"119","2011","4","30","0","1"
"120","2011","5","1","0","1"
"121","2011","5","2","0","1"
"122","2011","5","3","0","1"
"123","2011","5","4","0","1"
"124","2011","5","5","0","1"
"125","2011","5","6","0","1"
"126","2011","5","7","0","1"
"127","2011","5","8","0","1"
"128","2011","5","9","0","1"
"129","2011","5","10","0","1"
"130","2011","5","11","0","1"
"131","2011","5","12","0","1"
"132","2011","5","13","0","1"
"133","2011","5","14","0","1"
"134","2011","5","15","0","1"
"135","2011","5","16","0","1"
"136","2011","5","17","0","1"
"137","2011","5","18","0","1"
"138","2011","5","19","0","1"
"139","2011","5","20","0","1"
"140","2011","5","21","0","1"
"141","2011","5","22","0","1"
"142","2011","5","23","0","1"
